"true_model","true_phi","true_nknots","bic_true_model","adaflasso","phi_adaflasso","phi_yw_adaflasso","nknots_adaflasso","bic_adaflasso","knots_WCM","nknots_WCM","bic_WCM","phi_WCM","knots_AR1seg","nknots_AR1seg","bic_AR1seg","phi_AR1seg","best_iter","changepoints","nknots_best_iter","phi_best_iter","phi_yw_best_iter","min_bic_best_iter","distance_adaflasso","distance_WCM","distance_AR1seg","distance_best_iter_flasso"
"251,501,751",0.3,3,59.1219517988299,NA,0.289073509634743,0.289065342880898,0,22.5800503388795,NA,0,22.5826797515554,0.289065342880898,NA,0,22.9590141737567,0.262797603796272,1,NA,0,0.289073509634743,0.289065342880898,22.58005,3,3,3,3
"251,501,751",0.3,3,-45.9706826316011,NA,0.271966156893808,0.271975919654183,0,-30.5314928290621,NA,0,-30.5343226377917,0.271975919654183,NA,0,-23.2541831704923,0.388192136278301,1,NA,0,0.271966156893808,0.271975919654183,-30.53149,3,3,3,3
"251,501,751",0.3,3,41.1562419949674,NA,0.272800374045669,0.272856608014621,0,12.519748754643,NA,0,12.5035747825164,0.272856608014621,NA,0,14.6432302186851,0.208975994766802,1,NA,0,0.272800374045669,0.272856608014621,12.51975,3,3,3,3
"251,501,751",0.3,3,-1.01616487612203,NA,0.263099004265522,0.263089324886071,0,-8.30929805782264,NA,0,-8.30661254734946,0.263089324886071,NA,0,-6.4847534358767,0.204644788403736,1,NA,0,0.263099004265522,0.263089324886071,-8.3093,3,3,3,3
"251,501,751",0.3,3,-58.5312159857706,NA,0.221787735332831,0.221786704413538,0,-39.4749432249537,NA,0,-39.4746917660827,0.221786704413538,NA,0,-38.5754261460877,0.180329176403188,1,NA,0,0.221787735332831,0.221786704413538,-39.47494,3,3,3,3
"251,501,751",0.3,3,26.4544189843856,NA,0.31162806041753,0.31162300790562,0,6.19744645726088,NA,0,6.19892118713526,0.31162300790562,NA,0,69.4427548820123,0.660718488334314,1,NA,0,0.31162806041753,0.31162300790562,6.19745,3,3,3,3
"251,501,751",0.3,3,-36.5074633061309,NA,0.252362464925874,0.252314947593188,0,-26.7605988954741,NA,0,-26.7478120346413,0.252314947593188,NA,0,-19.0614559431667,0.37229679096006,1,NA,0,0.252362464925874,0.252314947593188,-26.7606,3,3,3,3
"251,501,751",0.3,3,112.425502583873,NA,0.284765165714781,0.284816398084722,0,46.5238568096625,NA,0,46.5084004819224,0.284816398084722,NA,0,46.7209722486697,0.301221757292132,1,NA,0,0.284765165714781,0.284816398084722,46.52386,3,3,3,3
"251,501,751",0.3,3,36.4330217060039,NA,0.308135330743756,0.308330157620473,0,4.04761995365646,NA,0,3.98565052605314,0.308330157620473,NA,0,4.53885040001552,0.265335105086429,1,NA,0,0.308135330743756,0.308330157620473,4.04762,3,3,3,3
"251,501,751",0.3,3,-17.7952113553026,NA,0.280344098185812,0.28034230860782,0,-16.0448011828996,NA,0,-16.0442681780069,0.28034230860782,NA,0,-15.682028575118,0.306150722737847,1,NA,0,0.280344098185812,0.28034230860782,-16.0448,3,3,3,3
"251,501,751",0.3,3,41.9544554502847,NA,0.300792239918299,0.300790977220661,0,14.0694809373092,NA,0,14.0695907558226,0.300790977220661,NA,0,35.3421463904669,0.500019291265388,1,NA,0,0.300792239918299,0.300790977220661,14.06948,3,3,3,3
"251,501,751",0.3,3,20.8845259179483,NA,0.230314311386438,0.230294744864035,0,0.694249868298836,NA,0,0.698884909584403,0.230294744864035,NA,0,0.777541798619208,0.242259565789077,1,NA,0,0.230314311386438,0.230294744864035,0.69425,3,3,3,3
"251,501,751",0.3,3,-38.3722779465623,NA,0.297154497863521,0.297252802944172,0,-27.2887682536878,NA,0,-27.320608427774,0.297252802944172,NA,0,-12.5377089182223,0.460491258474327,1,NA,0,0.297154497863521,0.297252802944172,-27.28877,3,3,3,3
"251,501,751",0.3,3,90.1412083223523,NA,0.314282552728468,0.314288700841775,0,37.9692639959223,NA,0,37.967061392454,0.314288700841775,NA,0,55.1191509976105,0.136810038534718,1,NA,0,0.314282552728468,0.314288700841775,37.96926,3,3,3,3
"251,501,751",0.3,3,85.6285278850496,NA,0.269491180955651,0.269494062837335,0,34.1773837254958,NA,0,34.1767626786146,0.269494062837335,NA,0,40.0369722945183,0.372353388215474,1,NA,0,0.269491180955651,0.269494062837335,34.17738,3,3,3,3
"251,501,751",0.3,3,-26.1839827435468,NA,0.30090408179498,0.300849895760082,0,-20.5781266001603,NA,0,-20.560631940086,0.300849895760082,NA,0,-14.9955877779032,0.199350243707777,1,NA,0,0.30090408179498,0.300849895760082,-20.57813,3,3,3,3
"251,501,751",0.3,3,10.5893106878318,NA,0.280744434390625,0.280746010618872,0,-1.93502405070396,NA,0,-1.93548511147534,0.280746010618872,NA,0,10.6494407698645,0.433806688724742,1,NA,0,0.280744434390625,0.280746010618872,-1.93502,3,3,3,3
