"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"205,341",-0.005,2,6929.61302538026,"202,343",-0.00521223540029216,2,6929.11202789331,2,"202,343",2,-0.00521223540029216,6923.8822,0.005,-0.00521223540029216,0.005
"142,268,414,594,741,855",-0.005,6,6978.08612092025,"142,268,414,415,597,741,855",-0.00499314728361927,7,6998.76770696971,3,"142,268,414,597,741,855",6,-0.00493981012825619,6971.26928,1.003,-0.00499314728361927,0.003
"220,455,696",-0.005,3,6949.58565321511,"221,455,697",-0.00415044038125612,3,6940.30888593197,2,"221,455,697",3,-0.00415044038125612,6940.17844,0.002,-0.00415044038125612,0.002
"138,470,724",-0.005,3,6999.08275387292,"138,465,478,724",-0.00424470615671288,4,6998.47626163755,4,"138,478,724",3,-0.00406146359134412,6986.84927,1.005,-0.00424470615671288,0.008
"628",-0.005,1,6961.78655006404,"627",-0.00489913679659794,1,6953.24734330598,2,"627",1,-0.00489913679659794,6953.24601,0.001,-0.00489913679659794,0.001
"313,586,788",-0.005,3,6936.22812229379,"312,586,590,787",-0.00467320855558099,4,6938.69835436994,3,"312,586,787",3,-0.00473505928495407,6925.74761,1.002,-0.00467320855558099,0.002
"165,316,461,630,744,852",-0.005,6,6991.01361031502,"164,318,461,632,740,766,852,875",-0.00443028158635544,8,6979.20755611864,6,"164,318,461,632,740,852",6,-0.00552185394701136,6970.85656,2.009,-0.00443028158635544,0.009
"583,764",-0.005,2,6922.32288734434,"583,763",-0.0049632576989859,2,6915.13763400259,2,"583,763",2,-0.0049632576989859,6915.04075,0.001,-0.0049632576989859,0.001
"191,430,751",-0.005,3,6999.25345977121,"191,428,751",-0.00497376925977052,3,7000.89005345934,2,"191,428,751",3,-0.00497376925977052,6993.79248,0.002,-0.00497376925977052,0.002
"367,577,889",-0.005,3,6984.08691246034,"367,577,887",-0.00568322639121885,3,6981.77345074583,2,"367,577,887",3,-0.00568322639121885,6978.70111,0.002,-0.00568322639121885,0.002
"531,657",-0.005,2,6969.25176669808,"531,648,655,657",-0.00509069254787636,4,6992.43638209753,8,"531,657",2,-0.00512025507096548,6968.79734,2,-0.00509069254787636,0
"167,277,406,561,724,852",-0.005,6,6942.53625574957,"167,277,406,557,561,724,851",-0.00586531341900822,7,6941.61768684699,4,"167,277,406,561,724,851",6,-0.00600503222335563,6929.31998,1.001,-0.00586531341900822,0.001
"122,257,397,516,637,753,864",-0.005,7,6985.03529299785,"122,257,396,505,516,525,620,635,755,865",-0.0047404097138563,10,7006.04862128537,3,"122,257,396,516,635,755,865",7,-0.00518632212319756,6964.72585,3.006,-0.0047404097138563,0.006
"146,254,418,560,662,830",-0.005,6,6979.84880174322,"146,254,418,560,662,830",-0.00469441446494641,6,6970.48014461585,2,"146,254,418,560,662,830",6,-0.00469441446494641,6966.83643,0,-0.00469441446494641,0
"232,458",-0.005,2,6972.18372812106,"232,276,458",-0.00501606477513791,3,6972.56784969755,3,"232,458",2,-0.004861234124394,6970.39538,1,-0.00501606477513791,0
"108,274,393,635,810",-0.005,5,6922.98498982879,"106,274,393,635,809,828",-0.00560128368279254,6,6926.33991767118,3,"106,274,393,635,809",5,-0.00589555440341201,6914.52889,1.003,-0.00560128368279254,0.003
"245,583,736",-0.005,3,6944.1980115342,"242,249,583,737",-0.00435784146962416,4,6943.67992660857,6,"242,583,737",3,-0.00458492203281569,6938.3653,1.004,-0.00435784146962416,0.004
"327,573",-0.005,2,6903.75795392323,"319,573",-0.00505696842729434,2,6891.52596128437,2,"319,573",2,-0.00505696842729434,6891.27547,0.008,-0.00505696842729434,0.008
"118,234,411,617,828",-0.005,5,7069.11324038617,"117,118,235,411,617,827",-0.00519564513778019,6,7067.53151855319,3,"118,235,411,617,827",5,-0.00516889157582572,7053.93708,1.002,-0.00519564513778019,0.002
"137,257,387,517,622,725,854",-0.005,7,6926.32061878886,"135,137,256,263,387,515,517,622,725,854",-0.00498994348749063,10,6958.81060674829,3,"137,256,387,517,622,725,854",7,-0.00533268987668251,6919.2648,3.001,-0.00498994348749063,0.001
"251,661",-0.005,2,6988.3364448815,"251,663",-0.00471018112237916,2,6986.09316472321,2,"251,663",2,-0.00471018112237916,6983.93133,0.002,-0.00471018112237916,0.002
"207,412",-0.005,2,7002.3464155474,"207,412",-0.00461395507174852,2,6998.77451007773,2,"207,412",2,-0.00461395507174852,6998.7608,0,-0.00461395507174852,0
"131,357,592,756",-0.005,4,7040.19006498866,"131,356,357,360,592,756",-0.00457496526246697,6,7067.20784148684,3,"131,356,592,756",4,-0.00467664007943648,7037.55974,2,-0.00457496526246697,0.001
"194,320,465,681,834",-0.005,5,7021.89704899853,"194,320,464,680,834",-0.00579095787265204,5,7016.25428453181,2,"194,320,464,680,834",5,-0.00579095787265204,7005.25085,0.002,-0.00579095787265204,0.002
"155",-0.005,1,6978.23765654202,"155",-0.00494371175068948,1,6974.4852094276,2,"155",1,-0.00494371175068948,6974.48466,0,-0.00494371175068948,0
"245,498,708",-0.005,3,7105.39637551324,"245,498,500,708",-0.00503183715469137,4,7112.65222427175,3,"245,500,708",3,-0.00507597543555289,7099.45348,1,-0.00503183715469137,0.002
"264,389,714",-0.005,3,6964.36349120023,"264,386,389,709",-0.00502228345544568,4,6969.96027310069,3,"264,389,709",3,-0.00499669960045588,6958.37157,1.005,-0.00502228345544568,0.005
"131,288,427,537,693,841",-0.005,6,6984.82548630541,"128,288,427,539,693,841",-0.00497266495938553,6,6986.76105012196,2,"128,288,427,539,693,841",6,-0.00497266495938553,6971.75286,0.005,-0.00497266495938553,0.005
"259,368,632,776",-0.005,4,7004.79919091588,"260,368,630,778",-0.00510818671154661,4,6990.9629798975,2,"260,368,630,778",4,-0.00510818671154661,6990.67131,0.005,-0.00510818671154661,0.005
"350,711",-0.005,2,6904.86895530946,"350,711",-0.0049098312912818,2,6900.48178213141,2,"350,711",2,-0.0049098312912818,6899.94631,0,-0.0049098312912818,0
"199,419,672,859",-0.005,4,6894.8001592079,"199,200,419,672,859",-0.00493494223651449,5,6914.49725984786,3,"200,419,672,859",4,-0.00490105323846163,6892.68518,1,-0.00493494223651449,0.001
"425",-0.005,1,6919.10675951979,"425",-0.00505667318009867,1,6919.07300204236,2,"425",1,-0.00505667318009867,6918.98242,0,-0.00505667318009867,0
"137,337,440,596,755,871",-0.005,6,6970.17338975614,"134,337,440,599,755,871",-0.00489865593453685,6,6957.18373994656,2,"134,337,440,599,755,871",6,-0.00489865593453685,6955.46281,0.006,-0.00489865593453685,0.006
"170,273,439,606,751,873",-0.005,6,7061.73084766951,"170,273,439,606,750,873",-0.00526032209167954,6,7057.91860273348,2,"170,273,439,606,750,873",6,-0.00526032209167954,7054.69074,0.001,-0.00526032209167954,0.001
"232,387,515,754",-0.005,4,6963.59048003417,"232,387,514,754",-0.0049901412517358,4,6960.04685507121,2,"232,387,514,754",4,-0.0049901412517358,6959.02131,0.001,-0.0049901412517358,0.001
"144,262,406,516,624,764,869",-0.005,7,7006.30063183295,"143,259,405,516,624,764,869",-0.00485556328925198,7,7000.18076231078,2,"143,259,405,516,624,764,869",7,-0.00485556328925198,6997.04702,0.005,-0.00485556328925198,0.005
"231,418,607,811",-0.005,4,6884.21861001579,"231,410,607,813",-0.00504996932377111,4,6861.69175919311,2,"231,410,607,813",4,-0.00504996932377111,6860.74428,0.01,-0.00504996932377111,0.01
"185,320,509,625,823",-0.005,5,6951.39891054358,"183,320,508,625,824",-0.0048290955266432,5,6939.98341202097,2,"183,320,508,625,824",5,-0.0048290955266432,6935.35225,0.004,-0.0048290955266432,0.004
"172,281,426,590,725,871",-0.005,6,6939.03772168942,"170,281,426,590,725,871",-0.00521745371190943,6,6943.15657709392,2,"170,281,426,590,725,871",6,-0.00521745371190943,6932.25978,0.002,-0.00521745371190943,0.002
"564",-0.005,1,6972.99754147289,"564",-0.00481569552799757,1,6968.83792761877,2,"564",1,-0.00481569552799757,6968.75675,0,-0.00481569552799757,0
"273,548,716",-0.005,3,6979.20013457665,"273,548,716",-0.0052477629069616,3,6977.02709110138,2,"273,548,716",3,-0.0052477629069616,6975.87938,0,-0.0052477629069616,0
"154,430,627,863",-0.005,4,7036.93544929866,"157,430,630,863",-0.00482619076037886,4,7033.2442654922,2,"157,430,630,863",4,-0.00482619076037886,7028.05556,0.006,-0.00482619076037886,0.006
"293,547,809",-0.005,3,6875.41901401605,"291,547,809",-0.00486013764756605,3,6869.23755546983,2,"291,547,809",3,-0.00486013764756605,6868.98533,0.002,-0.00486013764756605,0.002
"131,288,615",-0.005,3,7023.03657896186,"131,286,615",-0.00542910013852576,3,7029.43808692539,2,"131,286,615",3,-0.00542910013852576,7020.63075,0.002,-0.00542910013852576,0.002
"250,433,608,845",-0.005,4,6956.29727984725,"249,429,608,845",-0.00393000411261984,4,6951.04863127513,2,"249,429,608,845",4,-0.00393000411261984,6942.71495,0.005,-0.00393000411261984,0.005
"581",-0.005,1,6916.07348463463,"584",-0.00469023328737284,1,6905.00893813385,2,"584",1,-0.00469023328737284,6904.78238,0.003,-0.00469023328737284,0.003
"125,272,422,529,630,740,882",-0.005,7,6950.99719780349,"125,271,409,421,477,530,630,740,882",-0.00289077321789478,9,6970.59721027822,3,"125,271,421,530,630,740,882",7,-0.00395095608730068,6940.21936,2.003,-0.00289077321789478,0.003
"140,332,514,622,781,885",-0.005,6,7019.58660457045,"140,332,514,622,781,885",-0.00359491757455666,6,7016.69770538081,2,"140,332,514,622,781,885",6,-0.00359491757455666,7012.34517,0,-0.00359491757455666,0
"185,401,574,778",-0.005,4,6887.6143050528,"185,401,574,778",-0.00513552841373075,4,6886.46227349108,2,"185,401,574,778",4,-0.00513552841373075,6886.40577,0,-0.00513552841373075,0
"521",-0.005,1,7027.6712014238,"524",-0.00471687346060046,1,7024.10056235574,2,"524",1,-0.00471687346060046,7023.51862,0.003,-0.00471687346060046,0.003
"256,456,651,802",-0.005,4,6988.95280041976,"254,256,456,652,802",-0.00570584831752669,5,6993.72279609886,3,"254,456,652,802",4,-0.00563083268515109,6981.47402,1.001,-0.00570584831752669,0.003
"290,669,852",-0.005,3,6926.53494256785,"290,669,852",-0.00501059455781705,3,6922.49350359345,2,"290,669,852",3,-0.00501059455781705,6922.06141,0,-0.00501059455781705,0
"185,363,748",-0.005,3,6936.41873124186,"185,363,748",-0.0053516075223916,3,6936.22365922947,2,"185,363,748",3,-0.0053516075223916,6934.32427,0,-0.0053516075223916,0
"132,282,469,619,799,900",-0.005,6,7022.86421008434,"130,282,469,618,799,901",-0.0045725814328681,6,7022.28150159515,2,"130,282,469,618,799,901",6,-0.0045725814328681,7020.11997,0.004,-0.0045725814328681,0.004
"196,337,558,758,877",-0.005,5,6975.40628387535,"196,332,336,558,758,877",-0.00467422394260161,6,6975.31668546734,3,"196,332,558,758,877",5,-0.00451722419599227,6963.59513,1.001,-0.00467422394260161,0.005
"167,322,497,602,735,893",-0.005,6,6945.38774533715,"322,327,497,602,603,735,892",-0.0103129728235666,7,7025.36895640014,3,"322,497,603,735,892",5,-0.0102223942557459,6998.84632,1.161,-0.0103129728235666,1.002
"504",-0.005,1,6824.73266430814,"504",-0.00523056458129782,1,6820.40990092822,1,"504",1,-0.00523056458129782,6820.4099,0,-0.00523056458129782,0
"136,245,388,537,639,780,888",-0.005,7,6976.94342369764,"136,244,386,536,639,780,890",-0.00596864276823143,7,6971.32983426002,2,"136,244,386,536,639,780,890",7,-0.00596864276823143,6958.06726,0.006,-0.00596864276823143,0.006
