"true_model","true_slope","true_nknots","bic_true_model","flasso","slope_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","nknots_iter10flasso","bic_iter10flasso","PELT","nknots_PELT","bic_PELT","knots_BS","nknots_BS","bic_BS","knots_WBS","nknots_WBS","bic_WBS"
NA,0.005,3,6935.72992621539,NA,0.00481759295820364,0,6930.47765301998,NA,0.00481759295752152,0,6930.47765301998,NA,0.00481759295354248,0,6930.47765301998,NA,0.00481759295888576,0,6930.47765301999,NA,0.00481759295774889,0,6930.47765301998,NA,0.00481759296377429,0,6930.47765301999,NA,0.0048175929568394,0,6930.47765301997,NA,0.00481759296036369,0,6930.47765301999,NA,0.00481759295195086,0,6930.47765301998,NA,0.00481759296559328,0,6930.47765301998,NA,0.00481759296059106,0,6930.47765301998,"138,321,499,701,844",5,84.7598377151969,"138,292,382,499,701,792,844",7,97.3959579255139,"138,292,382,499,701,792,844",7,97.3959579255139
NA,0.005,3,6867.22468082383,NA,0.00498880653098348,0,6865.96564995391,NA,0.00498880654098792,0,6865.96564995388,NA,0.00498880654098792,0,6865.9656499539,NA,0.00498880654098792,0,6865.9656499539,NA,0.00498880654053317,0,6865.96564995391,NA,0.00498880654644489,0,6865.96564995389,NA,0.00498880655190185,0,6865.96564995389,NA,0.00498880654144267,0,6865.9656499539,NA,0.0049888065273455,0,6865.96564995392,NA,0.00498880654280691,0,6865.96564995389,NA,0.00498880653780469,0,6865.9656499539,"133,334,451,663,858",5,18.8282254903678,"133,334,451,639,719,931",6,23.4027778148638,"133,334,451,639,719,931",6,23.4027778148638
NA,0.005,3,6965.13797554451,NA,0.0052085393226238,0,6957.19760905561,NA,0.00520853932455648,0,6957.19760905562,NA,0.00520853932239643,0,6957.19760905561,NA,0.00520853932785339,0,6957.19760905563,NA,0.00520853932341961,0,6957.19760905562,NA,0.0052085393226238,0,6957.19760905561,NA,0.00520853932421542,0,6957.19760905562,NA,0.00520853931932688,0,6957.1976090556,NA,0.0052085393252386,0,6957.19760905562,NA,0.00520853932069112,0,6957.19760905561,NA,0.00520853932035006,0,6957.19760905561,"176,362,541,709,865",5,122.484933456131,"115,253,362,519,626,811,865",7,132.008966078578,"115,253,362,519,626,811,865",7,132.008966078578
NA,0.005,3,6894.76121554356,NA,0.00484850248634948,0,6891.6442547446,NA,0.00484850248640633,0,6891.64425474461,NA,0.00484850249220435,0,6891.64425474459,NA,0.00484850248691792,0,6891.64425474459,NA,0.00484850248526946,0,6891.64425474458,NA,0.00484850248345047,0,6891.64425474458,NA,0.00484850249015799,0,6891.6442547446,NA,0.00484850248379153,0,6891.64425474459,NA,0.00484850248333678,0,6891.64425474459,NA,0.00484850248606527,0,6891.64425474459,NA,0.00484850248447365,0,6891.6442547446,"255,449,573,698,849",5,49.5443069300924,"255,449,529,594,750,849",6,64.4901739022253,"76,255,449,529,594,750,849",7,64.2261390857662
NA,0.005,3,6944.12418073724,NA,0.00524731364780736,0,6939.03083632655,NA,0.00524731364985372,0,6939.03083632654,NA,0.00524731365099059,0,6939.03083632655,NA,0.00524731365235484,0,6939.03083632654,NA,0.00524731365212746,0,6939.03083632655,NA,0.00524731365030847,0,6939.03083632654,NA,0.00524731365099059,0,6939.03083632655,NA,0.00524731365030847,0,6939.03083632655,NA,0.00524731365144534,0,6939.03083632654,NA,0.00524731365167271,0,6939.03083632654,NA,0.00524731364985372,0,6939.03083632655,"115,293,408,522,732,845,955",7,103.774826248835,"63,222,299,471,732,845,955",7,110.968337029731,"63,222,299,471,732,845,955",7,110.968337029731
NA,0.005,3,6963.40096188649,NA,0.00492857627415097,0,6962.7175317744,NA,0.00492857626931928,0,6962.71753177441,NA,0.00492857627488994,0,6962.71753177441,NA,0.00492857627164986,0,6962.71753177441,NA,0.00492857627358254,0,6962.7175317744,NA,0.00492857627739105,0,6962.71753177441,NA,0.00492857627375307,0,6962.7175317744,NA,0.0049285762747194,0,6962.7175317744,NA,0.00492857627210461,0,6962.71753177441,NA,0.0049285762709109,0,6962.71753177441,NA,0.00492857627255935,0,6962.7175317744,"128,336,471,638,718,841",6,115.344135826183,"128,219,363,472,638,718,841",7,120.921124864729,"128,219,363,472,638,718,841",7,120.921124864729
NA,0.005,3,7003.15826925504,NA,0.0050352426405204,0,7003.05289356421,NA,0.00503524263506343,0,7003.05289356423,NA,0.00503524263733717,0,7003.05289356422,NA,0.00503524264086146,0,7003.05289356421,NA,0.00503524263892878,0,7003.05289356422,NA,0.00503524263870141,0,7003.05289356422,NA,0.00503524264165727,0,7003.05289356421,NA,0.00503524264131621,0,7003.05289356421,NA,0.00503524263824666,0,7003.05289356422,NA,0.0050352426379056,0,7003.05289356422,NA,0.00503524264211202,0,7003.05289356421,"135,361,469,665,819,914",6,159.462968239216,"135,361,469,694,896",5,162.423019145869,"135,361,469,694,896",5,162.423019145869
NA,0.005,3,6978.58798961965,NA,0.00494539320958587,0,6978.33657374664,NA,0.00494539320725529,0,6978.33657374665,NA,0.00494539320975641,0,6978.33657374665,NA,0.00494539320498156,0,6978.33657374665,NA,0.0049453932046405,0,6978.33657374664,NA,0.00494539320651633,0,6978.33657374664,NA,0.00494539320509524,0,6978.33657374665,NA,0.00494539320913113,0,6978.33657374665,NA,0.00494539320566368,0,6978.33657374664,NA,0.00494539320611843,0,6978.33657374665,NA,0.00494539320918797,0,6978.33657374664,"191,345,443,642,832",5,136.14772226259,"191,345,443,586,683,832",6,141.165374945441,"191,443,683,832",4,140.717404592968
NA,0.005,3,6877.32010365418,NA,0.00499777755470367,0,6875.19288487031,NA,0.00499777755402155,0,6875.19288487031,NA,0.00499777755470367,0,6875.19288487031,NA,0.00499777755379418,0,6875.19288487031,NA,0.00499777755561317,0,6875.19288487031,NA,0.00499777755493105,0,6875.19288487031,NA,0.00499777755493105,0,6875.1928848703,NA,0.00499777755379418,0,6875.19288487031,NA,0.00499777755584054,0,6875.1928848703,NA,0.00499777755493105,0,6875.19288487031,NA,0.00499777755493105,0,6875.19288487031,"70,274,474,614,820",5,36.7210282110101,"70,274,474,614,817",5,37.6369494585481,"70,274,474,614,817",5,37.6369494585481
NA,0.005,3,6968.97967324544,NA,0.00505880113134056,0,6968.51702644164,NA,0.0050588011292942,0,6968.51702644163,NA,0.00505880112849839,0,6968.51702644163,NA,0.00505880113259112,0,6968.51702644164,NA,0.00505880113088581,0,6968.51702644164,NA,0.00505880113293218,0,6968.51702644164,NA,0.00505880113162478,0,6968.51702644164,NA,0.00505880113253427,0,6968.51702644164,NA,0.00505880112963526,0,6968.51702644163,NA,0.005058801131909,0,6968.51702644164,NA,0.00505880113276165,0,6968.51702644164,"112,241,375,466,600,722,945",7,138.683719013047,"112,241,375,504,600,722,945",7,139.282745338037,"112,241,375,504,600,722,945",7,139.282745338037
