"true_model","bic_true_model","nknots_PELT","bic_PELT","nknots_BS","bic_BS","nknots_WBS","bic_WBS","nknots_flasso","bic_flasso","nknots_adaflasso","bic_adaflasso","best_iter","nknots_best_iter","min_bic_flasso"
NA,6935.72992621539,5,84.7598377151969,7,97.3959579255139,7,97.3959579255139,0,6930.47765301998,0,6930.47765301998,1,0,6930.47765
NA,6867.22468082383,5,18.8282254903678,6,23.4027778148638,6,23.4027778148638,0,6865.96564995391,0,6865.96564995388,1,0,6865.96565
NA,6965.13797554451,5,122.484933456131,7,132.008966078578,7,132.008966078578,0,6957.19760905561,0,6957.19760905562,1,0,6957.19761
NA,6894.76121554356,5,49.5443069300924,6,64.4901739022253,7,64.2261390857662,0,6891.6442547446,0,6891.64425474461,1,0,6891.64425
NA,6944.12418073724,7,103.774826248835,7,110.968337029731,7,110.968337029731,0,6939.03083632655,0,6939.03083632654,1,0,6939.03084
NA,6963.40096188649,6,115.344135826183,7,120.921124864729,7,120.921124864729,0,6962.7175317744,0,6962.71753177441,1,0,6962.71753
NA,7003.15826925504,6,159.462968239216,5,162.423019145869,5,162.423019145869,0,7003.05289356421,0,7003.05289356423,1,0,7003.05289
NA,6978.58798961965,5,136.14772226259,6,141.165374945441,4,140.717404592968,0,6978.33657374664,0,6978.33657374665,1,0,6978.33657
NA,6877.32010365418,5,36.7210282110101,5,37.6369494585481,5,37.6369494585481,0,6875.19288487031,0,6875.19288487031,1,0,6875.19288
NA,6968.97967324544,7,138.683719013047,7,139.282745338037,7,139.282745338037,0,6968.51702644164,0,6968.51702644163,1,0,6968.51703
NA,6870.25073766422,6,14.7651530927326,6,20.9089849390844,6,20.9089849390844,0,6867.72139020355,0,6867.72139020355,1,0,6867.72139
NA,6871.51395482382,5,24.3175208969124,6,30.8784871666563,6,30.8784871666563,0,6869.24634112024,0,6869.24634112025,1,0,6869.24634
NA,6914.24026307162,6,76.909128607102,7,80.7775280230142,7,80.7775280230142,0,6911.8803835799,0,6911.8803835799,1,0,6911.88038
NA,6864.28583252029,6,12.655354098484,6,16.6402559497456,6,16.6402559497456,0,6860.99242211789,0,6860.99242211789,1,0,6860.99242
NA,6899.20577201903,6,58.3571031403808,6,66.9217959790919,6,67.0533513238385,0,6897.96822452066,0,6897.96822452067,1,0,6897.96822
NA,6901.00805453291,6,46.38362998935,7,56.0949945193673,7,56.0949945193673,0,6897.07648240335,0,6897.07648240336,1,0,6897.07648
NA,6969.39669438592,5,120.460515846953,7,131.45681968709,7,131.45681968709,0,6968.29266545884,0,6968.29266545884,1,0,6968.29267
NA,6963.78925700953,6,117.35831807619,5,123.65628369927,5,123.65628369927,0,6962.97546496201,0,6962.97546496201,1,0,6962.97546
NA,6909.8864428311,6,73.9811575173364,8,89.4139142055107,8,89.4139142055107,0,6908.65803342321,0,6908.65803342321,1,0,6908.65803
NA,6970.42120174712,5,111.373033265556,6,117.684708786868,6,118.187802007996,0,6965.7405575475,0,6965.7405575475,1,0,6965.74056
NA,6945.06206616856,6,107.644779771764,7,113.740910024039,7,113.740910024039,0,6942.22451600596,0,6942.22451600597,1,0,6942.22452
NA,6956.53945661122,6,124.511845870998,7,135.251748675131,6,134.927154428646,0,6956.0276517538,0,6956.02765175381,1,0,6956.02765
NA,6870.48172432983,5,20.2539287867811,5,24.7181054838961,5,25.1947232457001,0,6866.0071927595,0,6866.0071927595,1,0,6866.00719
NA,7005.75332120374,6,168.766012596198,7,180.352668697817,6,183.373395253742,0,7003.62905053012,0,7003.6290505301,1,0,7003.62905
NA,6923.45438745989,5,77.9875424553627,7,85.2533212428894,7,86.9016075906243,0,6920.00128461921,0,6920.0012846192,1,0,6920.00128
NA,6843.6023259867,6,-8.76949591186478,7,-5.02635599764326,7,-5.02635599764326,0,6841.7180669886,0,6841.71806698861,1,0,6841.71807
NA,6873.80815984286,6,37.9882694819583,7,40.925823427189,7,42.5745514833326,0,6872.67459542294,0,6872.67459542294,1,0,6872.6746
NA,6907.01867420569,5,68.9318315743379,7,79.753147469503,7,79.753147469503,0,6903.91231306293,0,6903.91231306294,1,0,6903.91231
NA,6871.25320553241,6,29.1328875684396,7,37.8997318520915,7,38.1716841895931,0,6870.85312396715,0,6870.85312396715,1,0,6870.85312
NA,6877.85112727912,6,33.602318994177,6,33.602318994177,6,34.9778495291199,0,6876.84444956049,0,6876.84444956054,1,0,6876.84445
NA,6923.80070709615,5,72.2319536758434,5,81.3068427785596,5,81.3068427785596,0,6922.75244644833,0,6922.7524464483,1,0,6922.75245
NA,7006.69576799557,6,160.981462744341,7,167.206423625422,6,166.716499904984,0,7006.34682312127,0,7006.34682312125,1,0,7006.34682
NA,6910.79854194666,6,73.3172379635377,7,86.1800566904312,7,86.1800566904312,0,6910.05699773998,0,6910.05699773999,1,0,6910.057
NA,6939.96306837161,6,89.1999561662619,7,93.7410231747538,7,93.7410231747538,0,6934.54343545317,0,6934.54343545318,1,0,6934.54344
NA,6935.8440612856,5,70.0039917764722,7,83.1903000625656,7,83.1903000625656,0,6935.13424032994,0,6935.13424032994,1,0,6935.13424
NA,6875.58630406242,6,23.4344362621543,6,29.6143187883458,6,29.6143187883458,0,6873.18374958245,0,6873.18374958245,1,0,6873.18375
NA,6963.12390083382,7,118.96906680096,7,124.05930978255,7,124.05930978255,0,6962.1125161411,0,6962.1125161411,1,0,6962.11252
NA,6916.51478683186,5,59.8321074989762,6,66.4745890934235,6,66.4745890934235,0,6916.27609186085,0,6916.27609186086,1,0,6916.27609
NA,6925.42277439146,6,87.8994091060341,6,87.8994091060341,6,87.8994091060341,0,6920.44587364256,0,6920.44587364258,1,0,6920.44587
NA,6966.32431755349,6,115.43586967424,6,124.250767399477,6,124.26866345922,0,6964.68532530529,0,6964.68532530531,1,0,6964.68533
NA,6812.66166556392,6,-44.8699315192007,6,-41.4707997287613,7,-41.9043191474273,0,6810.24198782975,0,6810.24198782976,1,0,6810.24199
NA,6959.04108448359,6,122.196312168776,7,126.403897356509,7,126.403897356509,0,6956.83372343708,0,6956.83372343708,1,0,6956.83372
NA,6930.09494393058,5,87.0693904771066,6,95.0765202085634,6,95.0765202085634,0,6927.82385352903,0,6927.82385352904,1,0,6927.82385
NA,6966.64305192892,6,120.872040263496,7,122.428946174997,7,122.428946174997,0,6966.44258064328,0,6966.44258064329,1,0,6966.44258
NA,6905.15471512357,7,66.6145647973066,8,69.4801078028952,8,69.4801078028952,0,6904.7957485932,0,6904.79574859319,1,0,6904.79575
NA,6893.64431330828,5,59.2348600733874,7,62.2440188936974,7,62.2440188936974,0,6893.50023343173,0,6893.50023343173,1,0,6893.50023
NA,6933.03982102967,7,94.0199622358882,7,94.0199622358882,7,94.0199622358882,0,6932.34301497248,0,6932.34301497248,1,0,6932.34301
NA,6801.37753995292,6,-31.936249213398,7,-26.3003393519527,7,-26.3003393519527,0,6801.23013835232,0,6801.23013835231,1,0,6801.23014
NA,6860.49291599671,6,20.9404429320803,6,29.627473129179,6,29.627473129179,0,6860.41150469238,0,6860.41150469238,1,0,6860.4115
NA,6896.51554962315,7,53.383634151348,6,54.3410883308346,7,53.8684676898735,0,6892.98438641029,0,6892.9843864103,1,0,6892.98439
NA,6867.24106499018,6,15.2608141867685,6,18.7657678469206,6,18.9765760123234,0,6865.63540109155,0,6865.63540109156,1,0,6865.6354
NA,7006.75580143519,5,147.164997871298,8,164.290924546997,7,165.06616131136,0,7000.48297206064,0,7000.48297206064,1,0,7000.48297
NA,6927.42864233075,5,63.2154343240395,6,67.3504246120758,6,67.3504246120758,0,6922.3907636773,0,6922.39076367731,1,0,6922.39076
NA,6900.6780183377,7,53.7959530756837,7,58.3911575262411,7,58.3911575262411,0,6897.70664330794,0,6897.70664330796,1,0,6897.70664
