"true_model","true_nknots","bic_true_model","true.season","true.alpha","flasso","nknots_flasso","bic_flasso","season_flasso","alpha_flasso","adaflasso","nknots_adaflasso","bic_adaflasso","season_adaflasso","alpha_adaflasso","iter2flasso","nknots_iter2flasso","bic_iter2flasso","season_iter2flasso","alpha_iter2flasso","iter3flasso","nknots_iter3flasso","bic_iter3flasso","season_iter3flasso","alpha_iter3flasso","iter4flasso","nknots_iter4flasso","bic_iter4flasso","season_iter4flasso","alpha_iter4flasso","iter5flasso","nknots_iter5flasso","bic_iter5flasso","season_iter5flasso","alpha_iter5flasso","iter6flasso","nknots_iter6flasso","bic_iter6flasso","season_iter6flasso","alpha_iter6flasso"
"301,601,901",3,110.991698764506,"-1.38635962462931,-1.39382212273826,1.67331876002062,1.20502658578541,1.2293792863041,-0.640379919185187,-0.437592050212781,-0.241783800198089,-0.0500853260882563,0.908239247931929,-0.355932099387029,-0.510008937603143",0.005,NA,0,49.1190763007695,"-1.43730138767614,-1.5236257721173,1.83719672920584,1.40184066015598,1.47582355125173,-0.86871818077173,-0.415934296542505,-0.286366070874289,-0.0928477330555854,0.806760210225738,-0.472699028970566",0.00509955316744146,NA,0,49.1190763007719,"-1.43730138767622,-1.52362577211685,1.83719672920616,1.40184066015622,1.4758235512519,-0.868718180771637,-0.415934296542529,-0.286366070874378,-0.0928477330557363,0.806760210225522,-0.472699028970894",0.00509955316751251,NA,0,49.1190763007712,"-1.43730138767631,-1.52362577211732,1.83719672920581,1.40184066015601,1.47582355125187,-0.868718180771689,-0.415934296542529,-0.286366070874271,-0.0928477330555866,0.806760210225775,-0.472699028970576",0.00509955316744145,NA,0,49.1190763007666,"-1.43730138767618,-1.5236257721173,1.83719672920587,1.40184066015599,1.47582355125183,-0.868718180771651,-0.415934296542555,-0.286366070874326,-0.0928477330555998,0.806760210225746,-0.472699028970581",0.00509955316744736,NA,0,49.1190763007706,"-1.43730138767619,-1.52362577211707,1.83719672920599,1.40184066015607,1.4758235512519,-0.86871818077166,-0.415934296542553,-0.286366070874339,-0.0928477330556734,0.806760210225685,-0.472699028970735",0.00509955316748054,NA,0,49.1190763007678,"-1.43730138767632,-1.52362577211732,1.83719672920595,1.40184066015606,1.47582355125184,-0.868718180771649,-0.415934296542521,-0.28636607087432,-0.0928477330556529,0.806760210225775,-0.472699028970575",0.00509955316744855,NA,0,49.1190763007652,"-1.43730138767633,-1.52362577211709,1.83719672920604,1.40184066015608,1.47582355125184,-0.868718180771657,-0.415934296542509,-0.286366070874357,-0.0928477330556751,0.806760210225696,-0.4726990289707",0.00509955316747344
"301,601,901",3,151.9228145521,"1.40432152669502,0.0251671574751177,-0.226989045164065,0.344313512380602,-0.0348591636217171,0.697582572198482,0.703360555494268,1.70624264237865,-0.349732739271036,-1.74506284668719,-2.38399861602914,-0.140345555848999",0.005,NA,0,113.156838863646,"1.25056897710884,0.0146789591740018,-0.124601152474156,0.321790514513517,0.0565305187310632,0.660547230440097,0.689074705769551,1.66711231507923,-0.291912849071979,-1.6958684339645,-2.43266347824036",0.00503194321889444,NA,0,113.15683886365,"1.25056897710927,0.0146789591743756,-0.124601152473928,0.321790514513421,0.0565305187311506,0.660547230440083,0.689074705769375,1.66711231507913,-0.291912849072096,-1.69586843396467,-2.43266347824051",0.00503194321893945,NA,0,113.156838863639,"1.25056897710871,0.0146789591743313,-0.124601152474203,0.321790514513607,0.0565305187312381,0.660547230440117,0.689074705769346,1.66711231507927,-0.291912849072001,-1.6958684339646,-2.4326634782404",0.0050319432189205,NA,0,113.156838863647,"1.2505689771089,0.0146789591740298,-0.124601152474063,0.321790514513841,0.0565305187309959,0.660547230440187,0.689074705769513,1.66711231507921,-0.29191284907206,-1.69586843396466,-2.43266347824036",0.0050319432189276,NA,0,113.156838863635,"1.25056897710862,0.0146789591753629,-0.124601152473646,0.321790514514102,0.0565305187314143,0.660547230440308,0.68907470576945,1.66711231507906,-0.291912849072341,-1.69586843396502,-2.43266347824108",0.00503194321906972,NA,0,113.156838863637,"1.25056897710917,0.0146789591752737,-0.124601152473514,0.321790514513768,0.0565305187315362,0.660547230440156,0.689074705769481,1.66711231507897,-0.291912849072507,-1.69586843396514,-2.43266347824101",0.00503194321906024,NA,0,113.156838863627,"1.25056897710926,0.0146789591743596,-0.124601152473516,0.321790514513676,0.0565305187313507,0.66054723044023,0.689074705769559,1.66711231507897,-0.291912849072258,-1.69586843396487,-2.43266347824076",0.00503194321901051
"301,601,901",3,169.565582497269,"0.738388986697761,1.48058811505831,1.13907066396877,0.793618177013063,0.716211505754412,0.314831800477049,-1.05368621581454,-0.948934255233179,-1.03474009644396,-1.49320246752218,-0.00673144468382159,-0.645414769271683",0.005,NA,0,119.36508598378,"0.736454365110459,1.51654442110333,1.34109354576657,0.763414050421649,0.607339876948607,0.212585477682343,-0.936510968790398,-1.03552651861148,-1.07436079075303,-1.5377594475448,0.0156069455423647",0.0048310162026306,NA,0,119.365085983784,"0.736454365110162,1.51654442110317,1.34109354576653,0.763414050421676,0.60733987694859,0.21258547768224,-0.936510968790301,-1.03552651861141,-1.07436079075295,-1.53775944754475,0.0156069455424982",0.00483101620259981,NA,0,119.365085983781,"0.736454365110206,1.5165444211031,1.34109354576648,0.763414050421759,0.607339876948631,0.212585477682233,-0.936510968790292,-1.03552651861139,-1.07436079075292,-1.53775944754469,0.0156069455424823",0.00483101620260929,NA,0,119.365085983782,"0.736454365110443,1.5165444211032,1.34109354576666,0.763414050421673,0.607339876948676,0.212585477682197,-0.936510968790376,-1.03552651861148,-1.07436079075296,-1.53775944754481,0.0156069455423914",0.00483101620262705,NA,0,119.365085983782,"0.736454365110328,1.51654442110321,1.34109354576643,0.763414050421554,0.607339876948465,0.212585477682203,-0.936510968790254,-1.03552651861144,-1.07436079075288,-1.53775944754466,0.0156069455425325",0.00483101620259389,NA,0,119.365085983786,"0.736454365110338,1.51654442110324,1.34109354576631,0.763414050421713,0.607339876948675,0.212585477682194,-0.936510968790269,-1.03552651861141,-1.07436079075295,-1.53775944754477,0.0156069455424571",0.00483101620260692,NA,0,119.365085983779,"0.7364543651103,1.51654442110339,1.34109354576648,0.763414050421695,0.607339876948718,0.212585477682301,-0.936510968790382,-1.03552651861146,-1.07436079075299,-1.53775944754475,0.0156069455423652",0.00483101620262705
"301,601,901",3,216.691989581143,"-0.0186401391767975,0.361133345732289,0.738453106447703,0.943772625126107,0.133759513534895,0.420570258597252,0.258973684179148,-1.21262849746786,-1.22473351111723,-0.392094658283514,0.468114736710567,-0.476680464282555",0.005,NA,0,167.909891720182,"-0.114221991935383,0.399894257245497,0.763863526284238,1.01069606975455,0.233396488140027,0.479763271226303,0.163982461268913,-1.3143674068956,-1.38199307308844,-0.378955415413066,0.403188450334172",0.0049179648431833,NA,0,167.90989172018,"-0.114221991935372,0.399894257245466,0.763863526284229,1.01069606975454,0.233396488140063,0.47976327122632,0.163982461268879,-1.31436740689558,-1.38199307308852,-0.37895541541295,0.403188450334188",0.00491796484317975,NA,0,167.909891720179,"-0.11422199193527,0.399894257245332,0.763863526284402,1.01069606975461,0.233396488140082,0.479763271226317,0.163982461268965,-1.31436740689557,-1.38199307308857,-0.378955415413068,0.403188450334113",0.00491796484319751,NA,0,167.909891720179,"-0.114221991935223,0.399894257245184,0.763863526284223,1.01069606975445,0.233396488140033,0.479763271226306,0.163982461268939,-1.31436740689554,-1.38199307308851,-0.378955415412962,0.403188450334264",0.00491796484316199,NA,0,167.909891720182,"-0.114221991935137,0.399894257245539,0.763863526284438,1.01069606975459,0.233396488140066,0.479763271226297,0.163982461268837,-1.3143674068956,-1.38199307308855,-0.378955415413098,0.403188450334036",0.00491796484321172,NA,0,167.909891720183,"-0.114221991935289,0.399894257245364,0.7638635262843,1.01069606975459,0.233396488140028,0.479763271226375,0.163982461268824,-1.31436740689563,-1.3819930730885,-0.378955415412993,0.403188450334165",0.00491796484317738,NA,0,167.909891720178,"-0.114221991935446,0.399894257245478,0.763863526284237,1.01069606975449,0.233396488140014,0.479763271226371,0.163982461268859,-1.31436740689558,-1.38199307308846,-0.378955415412962,0.403188450334214",0.0049179648431762
"301,601,901",3,108.553847243362,"-0.223285600608023,-0.738168220694458,-2.28158545234067,-1.43033593640591,-0.192738876684786,0.20932298704495,0.769074619698957,0.852489188336469,1.73597081545053,0.155864501643538,0.372722303002756,0.770669671556643",0.005,NA,0,61.2746188869726,"-0.303231568028328,-0.620652300007757,-2.26529525822159,-1.31796900519598,-0.264486607407484,0.253258574083202,0.879824831530449,0.728779518148493,1.67483288151811,0.176510660432403,0.433910816217179",0.00492146415226071,NA,0,61.2746188869712,"-0.303231568028182,-0.620652300008017,-2.26529525822171,-1.3179690051961,-0.264486607407604,0.253258574083148,0.879824831530421,0.728779518148537,1.67483288151816,0.176510660432523,0.433910816217352",0.00492146415221896,470,1,61.2456577845636,"-0.303229095842235,-0.620658143652133,-2.26529997808598,-1.31797260128029,-0.264489079711722,0.25325722555897,0.879824606786209,0.728780417184351,1.67483490433399,0.176513807028347,0.433915086593204",0.00492034037222043,NA,0,61.2746188869723,"-0.303231568028353,-0.620652300007764,-2.26529525822172,-1.31796900519613,-0.264486607407538,0.253258574083188,0.879824831530408,0.728779518148539,1.67483288151815,0.176510660432505,0.433910816217335",0.00492146415223229,NA,0,61.2746188869729,"-0.30323156802831,-0.62065230000772,-2.26529525822153,-1.31796900519601,-0.264486607407477,0.253258574083199,0.879824831530393,0.728779518148494,1.6748328815181,0.176510660432427,0.433910816217189",0.0049214641522616,NA,0,61.2746188869742,"-0.303231568028413,-0.620652300007922,-2.26529525822165,-1.31796900519614,-0.264486607407499,0.253258574083233,0.879824831530435,0.728779518148551,1.67483288151813,0.176510660432495,0.43391081621735",0.00492146415223229,NA,0,61.274618886973,"-0.303231568028373,-0.62065230000789,-2.26529525822163,-1.31796900519603,-0.264486607407529,0.25325857408322,0.879824831530437,0.728779518148555,1.67483288151817,0.176510660432478,0.433910816217229",0.00492146415223998
"301,601,901",3,97.1840756974814,"0.259698551347054,-0.792048982145614,-1.76808504782715,-1.86792328146859,-0.260834628376011,0.566964282667159,2.16991550778147,1.09046187849342,0.981710024824614,0.609776927441867,-0.640323527348057,-0.349311705390166",0.005,NA,0,51.1467289639585,"0.155598897357537,-0.787112673445231,-1.72890029592605,-2.01253138965324,-0.185359626430005,0.53227615555986,2.27980991557526,1.14957835060191,0.960652293797926,0.526810948327032,-0.524856760231169",0.00514962132312263,NA,0,51.1467289639586,"0.155598897357589,-0.787112673445655,-1.72890029592626,-2.01253138965331,-0.18535962643016,0.532276155559781,2.2798099155753,1.14957835060196,0.960652293798017,0.526810948327225,-0.524856760230882",0.00514962132306934,NA,0,51.1467289639558,"0.155598897357567,-0.78711267344534,-1.72890029592584,-2.01253138965322,-0.185359626429987,0.532276155559817,2.27980991557529,1.14957835060188,0.960652293797906,0.526810948327068,-0.524856760231235",0.00514962132312737,NA,0,51.1467289639579,"0.155598897357653,-0.787112673445341,-1.72890029592618,-2.01253138965326,-0.185359626430132,0.532276155559767,2.27980991557521,1.14957835060195,0.960652293798005,0.526810948327078,-0.524856760231032",0.00514962132310131,NA,0,51.1467289639579,"0.155598897357561,-0.787112673445676,-1.72890029592609,-2.01253138965345,-0.185359626430149,0.532276155559721,2.2798099155753,1.14957835060198,0.960652293798046,0.526810948327198,-0.524856760230911",0.00514962132306342,NA,0,51.1467289639612,"0.155598897357679,-0.787112673445826,-1.72890029592633,-2.01253138965354,-0.185359626430268,0.532276155559731,2.27980991557525,1.149578350602,0.960652293798118,0.52681094832735,-0.524856760230765",0.00514962132303618,NA,0,51.1467289639579,"0.155598897357641,-0.787112673445204,-1.72890029592596,-2.01253138965304,-0.18535962642988,0.53227615555975,2.27980991557532,1.14957835060189,0.960652293797904,0.526810948326964,-0.5248567602313",0.00514962132315105
"301,601,901",3,58.3454619692034,"1.16238875903988,-0.637908990453741,-0.690990894178517,-0.555735443558512,-1.05418964394517,-1.09930311757557,-0.0847081130472131,-0.419347609127577,0.562585132341207,1.21173378927298,1.1146132357605,0.49086289547173",0.005,NA,0,2.57827288415344,"0.858133670189844,-0.641324965210361,-0.596905452729635,-0.589181345750137,-0.943939553162206,-1.24066303372248,0.00706857442183869,-0.299963016646571,0.603557316513575,1.16887601350732,1.16142083808978",0.00493551566892645,NA,0,2.57827288416593,"0.858133670190174,-0.641324965210383,-0.596905452729694,-0.589181345750151,-0.943939553162299,-1.24066303372266,0.00706857442186241,-0.299963016646698,0.603557316513545,1.16887601350738,1.16142083808984",0.00493551566890159,NA,0,2.57827288415315,"0.858133670190013,-0.641324965209797,-0.596905452729573,-0.589181345750208,-0.943939553162175,-1.24066303372254,0.00706857442182476,-0.299963016646623,0.60355731651346,1.1688760135072,1.16142083808961",0.00493551566895488,NA,0,2.57827288414734,"0.858133670190219,-0.641324965210281,-0.596905452729926,-0.58918134575028,-0.943939553162238,-1.24066303372268,0.00706857442179232,-0.299963016646566,0.603557316513564,1.1688760135074,1.16142083808989",0.0049355156688933,NA,0,2.57827288414995,"0.858133670190093,-0.641324965210468,-0.596905452729772,-0.58918134575014,-0.943939553162126,-1.24066303372256,0.00706857442179431,-0.299963016646629,0.603557316513605,1.16887601350738,1.16142083808978",0.00493551566891105,NA,0,2.57827288416289,"0.85813367018978,-0.641324965210397,-0.59690545272962,-0.589181345750177,-0.943939553162159,-1.24066303372255,0.00706857442179376,-0.299963016646529,0.603557316513529,1.16887601350735,1.16142083808989",0.00493551566891342,NA,0,2.57827288414211,"0.858133670189925,-0.641324965210063,-0.596905452729588,-0.589181345750098,-0.9439395531622,-1.24066303372255,0.0070685744218273,-0.299963016646628,0.603557316513536,1.16887601350724,1.16142083808969",0.00493551566894303
"301,601,901",3,133.030043051715,"1.32424029624127,0.78847297412859,-1.47883055201628,-1.33938604655714,-0.407142703944766,-0.993786593429688,-0.0884305376583211,-0.221286228884267,0.472814321139246,0.673201803068924,1.30951254757786,-0.0393792796654312",0.005,NA,0,92.5352862151876,"1.40258240087125,0.797322763470565,-1.46026112191154,-1.35805136560565,-0.214102678249262,-0.99301788485408,0.00341053043496865,-0.209891139282769,0.414927356544365,0.598204643792464,1.15874595906873",0.00494833438629451,NA,0,92.5352862151839,"1.40258240087121,0.797322763470749,-1.46026112191134,-1.35805136560553,-0.214102678249132,-0.993017884854084,0.00341053043490319,-0.209891139282797,0.414927356544334,0.598204643792338,1.15874595906862",0.00494833438632766,NA,0,92.5352862151904,"1.40258240087109,0.797322763470557,-1.46026112191161,-1.35805136560565,-0.214102678249245,-0.993017884854045,0.0034105304349045,-0.209891139282698,0.41492735654443,0.598204643792514,1.1587459590688",0.00494833438628386,NA,0,92.535286215186,"1.40258240087093,0.797322763470669,-1.46026112191148,-1.35805136560557,-0.214102678249104,-0.993017884854074,0.00341053043496678,-0.209891139282784,0.414927356544385,0.598204643792429,1.15874595906875",0.00494833438630932,NA,0,92.5352862151918,"1.40258240087143,0.797322763470714,-1.46026112191145,-1.35805136560559,-0.214102678249211,-0.993017884854046,0.00341053043482186,-0.209891139282875,0.41492735654435,0.598204643792398,1.15874595906865",0.00494833438630873,NA,0,92.5352862151839,"1.40258240087118,0.797322763470758,-1.46026112191132,-1.3580513656056,-0.214102678249218,-0.993017884854054,0.00341053043486977,-0.209891139282728,0.414927356544305,0.598204643792378,1.15874595906866",0.00494833438631879,NA,0,92.5352862151885,"1.40258240087115,0.797322763470451,-1.46026112191131,-1.35805136560568,-0.214102678249229,-0.993017884854138,0.00341053043486599,-0.20989113928274,0.41492735654441,0.598204643792491,1.15874595906878",0.0049483343862951
"301,601,901",3,115.647620705631,"-0.947048854022692,-2.30933842722993,-0.454905975115187,-0.348297105243134,1.12294624929561,0.0772856471593125,0.434668544007106,-0.430892840111791,-0.0928718877837656,0.811584479048924,1.60382479379307,0.533045376202473",0.005,NA,0,60.1793613923404,"-1.085121904692,-2.2632856167382,-0.408258014104833,-0.401798603668215,1.04425175784953,-0.107902519571256,0.445634992192933,-0.42149551861483,0.00734296347865699,0.7988854749987,1.76151813938619",0.00513736638965339,NA,0,60.1793613923424,"-1.0851219046919,-2.2632856167383,-0.408258014104934,-0.401798603668301,1.0442517578495,-0.107902519571273,0.445634992192946,-0.421495518614849,0.00734296347870127,0.798885474998802,1.76151813938622",0.00513736638964154,NA,0,60.1793613923422,"-1.08512190469197,-2.26328561673818,-0.408258014104902,-0.401798603668207,1.04425175784953,-0.107902519571285,0.44563499219292,-0.421495518614878,0.00734296347868234,0.798885474998747,1.7615181393862",0.00513736638965219,NA,0,60.1793613923431,"-1.08512190469199,-2.26328561673818,-0.408258014104786,-0.40179860366819,1.04425175784955,-0.10790251957126,0.445634992192928,-0.421495518614856,0.00734296347865368,0.798885474998691,1.76151813938615",0.00513736638966522,NA,0,60.1793613923387,"-1.085121904692,-2.26328561673823,-0.408258014104739,-0.401798603668258,1.04425175784955,-0.107902519571289,0.445634992192944,-0.421495518614865,0.0073429634786515,0.798885474998706,1.76151813938619",0.0051373663896593,NA,0,60.1793613923455,"-1.08512190469204,-2.26328561673814,-0.408258014104877,-0.401798603668265,1.04425175784952,-0.107902519571279,0.445634992192968,-0.421495518614869,0.00734296347869266,0.798885474998739,1.76151813938619",0.00513736638965219,NA,0,60.1793613923422,"-1.08512190469199,-2.2632856167381,-0.408258014104763,-0.401798603668199,1.04425175784954,-0.107902519571303,0.445634992192926,-0.42149551861489,0.00734296347865671,0.79888547499868,1.76151813938617",0.00513736638966286
"301,601,901",3,152.9102969385,"-0.175833279474328,1.62055312383,1.17081575916394,0.448328473304211,0.17672641575471,1.24804012836418,-0.0693095711908247,0.989813673125812,-1.8978115184671,-1.81928146654515,-0.59639067375639,-1.09565106410907",0.005,NA,0,98.7653878875405,"-0.0504709235238679,1.73205027241461,1.09442059074329,0.358374016625953,0.14236195987091,1.28272656383317,-0.149766354267657,0.824367556110622,-1.74460322293101,-2.00304896782486,-0.442824323805723",0.00497279216887307,NA,0,98.7653878875398,"-0.0504709235238441,1.73205027241469,1.09442059074339,0.358374016626006,0.142361959870933,1.28272656383315,-0.149766354267661,0.824367556110585,-1.74460322293106,-2.0030489678249,-0.442824323805794",0.00497279216888964,NA,0,98.7653878875378,"-0.0504709235238684,1.73205027241468,1.09442059074335,0.358374016626008,0.142361959870936,1.28272656383314,-0.149766354267672,0.824367556110614,-1.74460322293106,-2.00304896782488,-0.4428243238058",0.00497279216888343,NA,0,98.7653878875359,"-0.0504709235238511,1.73205027241475,1.09442059074339,0.358374016626025,0.142361959870947,1.28272656383316,-0.149766354267648,0.824367556110547,-1.74460322293106,-2.00304896782492,-0.442824323805829",0.00497279216889497,NA,0,98.7653878875423,"-0.0504709235238973,1.73205027241465,1.0944205907433,0.358374016625988,0.142361959870939,1.28272656383314,-0.149766354267655,0.824367556110606,-1.74460322293102,-2.00304896782488,-0.442824323805761",0.00497279216888195,NA,0,98.7653878875403,"-0.0504709235238043,1.73205027241466,1.09442059074332,0.358374016625986,0.142361959870887,1.28272656383317,-0.149766354267659,0.824367556110612,-1.74460322293108,-2.00304896782489,-0.442824323805765",0.00497279216888283,NA,0,98.7653878875389,"-0.0504709235238837,1.73205027241459,1.09442059074326,0.358374016625952,0.142361959870877,1.28272656383316,-0.149766354267648,0.824367556110622,-1.74460322293102,-2.0030489678248,-0.442824323805737",0.00497279216887247
