"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"139,253,377,612,779,898",72.8516821407225,"172,223,383,610,787,891",60.9019435758622,"140,248,378,418,589,607,766,784,894",98.6994892665406,"140,248,378,418,607,784,894",70.4992958144661,3,"140,248,378,607,784,894",64.73606,0.086,3.021,1.021,0.021
"269",-28.6404726186576,"268",-29.9604607263428,"275,474",-19.9224828670747,"275",-29.2770421757639,2,"275",-29.27713,0.001,1.006,0.006,0.006
"125,286,523,695,826",77.6968248114057,"133,292,525,699,828",69.7367433583371,"132,296,519,693,838",84.8207116105444,"132,296,519,693,838",70.8009425936027,4,"132,296,519,693,838",70.76348,0.022,0.035,0.035,0.035
"150,339,514,693,821",121.720561818481,"140,326,527,673,832",108.28949633134,"139,326,494,530,672,697,831,916",129.034514419339,"139,326,530,672,831",115.271189903185,4,"139,326,530,672,831",108.37593,0.067,3.054,0.071,0.071
"237,579,719",10.3828432656937,"242,601,713",5.96867417243259,"241,341,519,616,715,727",18.632637849624,"241,519,616,715",5.72603354277076,2,"241,519,616,715",5.11797,0.033,3.045,1.045,1.045
"117,425,639",90.2805212423244,"126,415,639",82.615889932228,"116,187,409,412,640",96.1740560592937,"116,187,409,640",84.773873140508,2,"116,187,409,640",84.77381,0.019,2.015,1.018,1.018
"364,705,822",15.850626662786,"361,717,833",0.0569863386578788,"190,341,361,415,619,711,832,875",32.1403532083244,"361,711,832",0.39354066308141,2,"361,711,832",0.21007,0.026,5.019,0.019,0.019
"192,340,674,808",-25.8139269661148,"215,329,672,810",-33.8803382409893,"102,190,337,349,664,814",-12.4968290656476,"190,337,664,814",-31.7588184362668,10,"190,337,664,814",-31.78097,0.038,2.021,0.021,0.021
"130,231,350,454,562,681,847",51.4911260773754,"113,204,366,454,604,661,848",19.6152483605808,"110,207,355,460,570,600,671,847",32.6687095730303,"110,207,355,460,600,671,847",21.217629213841,2,"110,207,355,460,600,671,847",21.21319,0.123,1.073,0.103,0.103
"123,250,713",96.9621354444626,"111,243,705",87.7653224791814,"103,110,246,518,695,798,827",115.753662399624,"110,246,695",89.85674793786,2,"110,246,695",89.54793,0.027,4.035,0.035,0.035
"310,531",78.1725931694943,"307,528",74.4338916920374,"282,334,518,564,822",89.9827064980875,"282,518",81.2341342812708,2,"282,518",80.28136,0.006,3.037,0.041,0.041
"101,210,319,430,604,716,837",67.596232240979,"454,631,684,867",51.1633749522631,"437,444,608,722,866",74.9061374953796,"444,608,722,866",53.8908103628518,3,"357,444,608,722,866",52.67676,3.436,2.171,3.464,2.091
"109,217,364,467,573,722,848",72.6045239326858,"108,225,349,476,558,724,841",53.9342687069241,"107,208,232,339,351,462,469,560,624,707,723,831,864",99.3890312462125,"107,232,351,469,560,707,864",63.3789191305832,2,"107,232,351,469,560,707,864",56.01543,0.057,6.056,0.076,0.076
"121",-27.7591161520193,"131",-31.2655644226595,"161",-25.6291171296363,"161",-27.1144752400317,2,"161",-27.11452,0.01,0.04,0.04,0.04
