"true_model","true_nknots","bic_true_model","flasso","nknots_flasso","bic_flasso","adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","nknots_iter10flasso","bic_iter10flasso","cpop","nknots_cpop","bic_cpop"
"595,812",2,-7.9665727375266,"252,586,608,802",4,-4.304073301886,"586,802",2,-9.92576617374554,"270,586,802",3,-10.4159664791796,"270,586,802",3,-10.8804618972405,"270,586,802",3,-10.88046189726,"270,586,802",3,-10.8804618971479,"270,586,802",3,-10.8804618969586,"270,586,802",3,-10.8804618968816,"270,586,802",3,-10.88046189715,"270,586,802",3,-10.8804618972945,"270,586,802",3,-10.8804618968136,"609,801",2,-16.0362338565155
"101,201,355,459,610,736,858",7,30.868701814351,"102,104,219,330,365,477,599,622,721,858",10,38.4248323865876,"102,219,330,477,599,622,721,858",8,16.9375520094058,"102,219,330,477,622,721,858",7,11.4046879516351,"102,219,330,477,622,721,858",7,10.572201220958,"102,219,330,477,622,721,858",7,10.5722012209627,"102,219,330,477,622,721,858",7,10.5722012209233,"102,219,330,477,622,721,858",7,10.572201220926,"102,219,330,477,622,721,858",7,10.5722012209075,"102,219,330,477,622,721,858",7,10.5722012209405,"102,219,330,477,622,721,858",7,10.572201220977,"102,219,330,477,622,721,858",7,10.5722012209632,"105,220,331,478,624,713,855",7,9.75831538170516
"571,761",2,15.6614022594661,"406,580,759,801",4,21.423647320783,"580,759,801",3,14.5570538689751,"580,759",2,11.2183340992931,"580,759",2,10.2167035753619,"580,759",2,10.2496415885405,"580,759",2,10.222413833743,"580,759",2,10.2496410396476,"580,759",2,10.2496388521472,"580,759",2,10.2169347899274,"580,759",2,10.2496421726931,"580,759",2,10.2353287334211,"581,774",2,9.10256199489311
"451,683",2,-0.62098023590578,"445,455,693",3,2.08168086340527,"445,693",2,-5.06831204270891,"445,693",2,-5.13180277118703,"445,693",2,-5.13180277079447,"445,693",2,-5.13180277092352,"445,693",2,-5.13180277161356,"445,693",2,-5.13180277085377,"445,693",2,-5.29243711462006,"445,693",2,-5.13176440671592,"445,693",2,-5.131802771232,"445,693",2,-5.13180277031688,"458,688",2,-7.15242618952406
"125,416,566,835",4,46.1021784793047,"141,412,598,803,819",5,48.9506958774175,"141,412,598,819",4,34.0898890668912,"141,412,598,819",4,32.8095498731295,"141,412,598,819",4,32.8095498730312,"141,412,598,819",4,32.8095498730363,"141,412,598,819",4,32.809549873165,"141,412,598,819",4,32.8095498731885,"141,412,598,819",4,32.8095498730952,"141,412,598,819",4,32.8095498730444,"141,412,598,819",4,32.8095498731015,"141,412,598,819",4,32.8095498731179,"140,424,593,806",4,31.0614933898318
"175,410,880",3,7.33242293253041,"152,170,403,424,855",5,24.076325177905,"170,403,855",3,-0.651259975261439,"170,403,855",3,-0.659256349054623,"170,403,855",3,-0.659256349180666,"170,403,855",3,-0.659256349322462,"170,403,855",3,-0.659256349246327,"170,403,855",3,-0.659256348995058,"170,403,855",3,-0.659256349400891,"170,403,855",3,-0.659256349349249,"170,403,855",3,-0.65925634923633,"170,403,855",3,-0.659256348985743,"168,400,885",3,-3.79454107311336
"254,891",2,21.3200157249023,"261,479,805,884",4,29.3400198573086,"261,884",2,16.4126208341374,"261,884",2,15.5290046367147,"261,884",2,15.5290046370455,"261,884",2,15.5290046369677,"261,884",2,15.5290046368758,"261,884",2,15.5290046370481,"261,884",2,15.5290046368914,"261,884",2,15.529004637292,"261,884",2,15.5290046370878,"261,884",2,15.5290046369466,"262,885",2,15.5290046369913
"164,276,790",3,109.349130445818,"151,183,290,537,719,777,783,915",8,133.382805359708,"151,290,777",3,109.287286323747,"151,290,777",3,106.933147176913,"151,290,777",3,106.933141308026,"151,290,777",3,106.933141308401,"151,290,777",3,106.933141307595,"151,290,777",3,106.933141307879,"151,290,777",3,106.933141309112,"151,290,777",3,106.933141307812,"151,290,777",3,106.933141308209,"151,290,777",3,106.933141307838,"183,284,786",3,105.424980558934
"161",1,54.6504969631719,"160,228",2,61.2107608913079,"160",1,52.3097173446168,"160",1,52.3094878538076,"160",1,52.3094878532506,"160",1,52.309487852676,"160",1,52.30948785341,"160",1,52.1520924304823,"160",1,52.3095148604382,"160",1,52.3094878529707,"160",1,52.3094878525213,"160",1,52.3094878536757,"149",1,50.5747862804849
"114,219,361,471,695",5,148.084242376481,"103,246,363,475,477,616,709",7,143.747374904733,"103,246,363,475,616,709",6,128.499232773267,"103,246,363,475,616,709",6,128.498918475158,"103,246,363,475,616,709",6,128.498918475175,"103,246,363,475,616,709",6,128.498918475186,"103,246,363,475,616,709",6,128.498918475153,"103,246,363,475,616,709",6,128.498918475102,"103,246,363,475,616,709",6,128.498918475173,"103,246,363,475,616,709",6,128.498918475193,"103,246,363,475,616,709",6,128.498918475154,"103,246,363,475,616,709",6,128.498918475142,"104,255,364,468,702",5,125.692200072101
