"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",90.5099226361328,"256,498,740",84.4582857230658,"248,497,741,762",125.015896615176,"248,497,741",85.4307106995684,2,"248,497,741",85.37873,0.02,1.019,0.02,0.02
"252,502,752",150.720556549398,"270,497,766",142.526406874651,"248,504,770",193.281369229828,"248,504,770",146.837463308307,1,"248,504,770",146.83746,0.037,0.024,0.024,0.024
"252,502,752",79.3664474752111,"253,498,757",75.0440306337105,"249,494,508,758",107.709148304455,"249,494,758",75.9853080688035,1,"249,494,758",75.98531,0.01,1.015,0.017,0.017
"252,502,752",75.9853080688035,"247,504,755",69.9001741008501,"224,249,504,755,761",117.90349079245,"224,504,755",75.9853080688035,1,"224,504,755",75.98531,0.01,2.008,0.033,0.033
"252,502,752",75.9853080688035,"250,506,745",14.7559344941282,"245,504,756",75.9853080688035,"245,504,756",75.9853080688035,1,"245,504,756",75.98531,0.013,0.013,0.013,0.013
"252,502,752",75.9853080688035,"244,499,763",40.1965582456672,"229,499,767",77.4844112015863,"229,499,767",75.9853080688035,1,"229,499,767",75.98531,0.022,0.041,0.041,0.041
"252,502,752",75.9853080688035,"251,501,744",23.6681277028163,"213,248,500,755",96.7085739057499,"248,500,755",75.9853080688035,1,"248,500,755",75.98531,0.01,1.009,0.009,0.009
"252,502,752",84.603799660262,"244,498,760",74.0191398336562,"233,497,501,761",116.248266694119,"233,501,761",75.9853080688035,1,"233,501,761",75.98531,0.02,1.029,0.029,0.029
"252,502,752",75.9853080688035,"251,501,751",30.3117186911263,"243,500,756",75.9853080688035,"243,500,756",75.9853080688035,1,"243,500,756",75.98531,0.003,0.015,0.015,0.015
"252,502,752",159.25636829025,"268,489,759",151.401996138592,"260,459,496,763",185.326756498459,"260,496,763",152.786687402542,2,"260,496,763",152.75843,0.036,1.025,0.025,0.025
"252,502,752",75.9853080688035,"260,507,753",68.3450331025935,"251,506,758",91.5197010743101,"251,506,758",75.9853080688035,1,"251,506,758",75.98531,0.014,0.011,0.011,0.011
"252,502,752",75.9853080688035,"248,491,755",45.9034650350692,"240,491,493,754,801",117.431839742696,"240,491,754",75.9853080688035,1,"240,491,754",75.98531,0.018,2.023,0.025,0.025
"252,502,752",132.177989867899,"251,492,743",124.377267075177,"233,250,491,723,741,795",190.750517539266,"250,491,741",125.054619411902,2,"250,491,741",124.39659,0.02,3.024,0.024,0.024
"252,502,752",75.9853080688035,"257,515,739",36.0120965546933,"230,238,510,753",115.428589830055,"238,510,753",75.9853080688035,1,"238,510,753",75.98531,0.031,1.023,0.023,0.023
"252,502,752",104.431923215514,"259,509,750",99.1788434919299,"255,507,752",117.023357185752,"255,507,752",99.7783155545455,1,"255,507,752",99.77832,0.016,0.008,0.008,0.008
"252,502,752",122.911078474822,"255,493,751",115.976935331307,"205,250,496,759",162.453802819537,"250,496,759",116.848892659305,2,"250,496,759",116.81453,0.013,1.015,0.015,0.015
"252,502,752",89.5071904300493,"235,490,752",82.1484733036845,"217,253,490,751,761",132.892614613834,"217,490,751",83.4184416563145,2,"217,490,751",83.17469,0.029,2.014,0.048,0.048
"252,502,752",107.858693984463,"249,495,763",97.199564599295,"243,248,494,763",123.812843151767,"248,494,763",97.2564604704248,1,"248,494,763",97.25646,0.021,1.023,0.023,0.023
"252,502,752",124.49526289627,"256,525,747",110.476191098659,"252,521,752",119.242692735137,"252,521,752",111.257744822923,1,"252,521,752",111.25774,0.032,0.019,0.019,0.019
"252,502,752",97.1589297858558,"247,496,728",86.0475347362369,"245,487,504,709,746",130.309157549188,"245,487,746",87.4902710164068,2,"245,487,746",87.41387,0.035,2.015,0.028,0.028
"252,502,752",75.9853080688035,"249,506,745",64.2339969454835,"231,256,505,750",103.32873952366,"231,505,750",75.9853080688035,1,"231,505,750",75.98531,0.014,1.009,0.026,0.026
"252,502,752",75.9853080688035,"252,494,753",53.9962133471945,"241,494,758,773",112.97194830985,"241,494,773",75.9853080688035,1,"241,494,773",75.98531,0.009,1.025,0.04,0.04
"252,502,752",75.9853080688035,"239,521,749",15.5184984715339,"236,498,520,758",96.7085739057499,"236,498,758",75.9853080688035,1,"236,498,758",75.98531,0.035,1.026,0.026,0.026
"252,502,752",84.3510099108207,"240,512,745",77.5775673971028,"237,509,747,755",107.01522071344,"237,509,747",78.0719096849976,2,"237,509,747",78.07189,0.029,1.025,0.027,0.027
