"true_model","true_nknots","bic_true_model","flasso","nknots_flasso","bic_flasso","adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","nknots_iter10flasso","bic_iter10flasso","cpop","nknots_cpop","bic_cpop"
"252,502,752",3,75.9853080688035,"241,493,753",3,87.0601374311141,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"241,493,753",3,75.9853080688035,"250,493,741",3,9.81021652493368
"252,502,752",3,127.537483074485,"247,508,760,776",4,157.735470945903,"247,508,760",3,118.920358532346,"247,508,760",3,118.920358496978,"247,508,760",3,118.920358496944,"247,508,760",3,118.920358497001,"247,508,760",3,118.92035849691,"247,508,760",3,118.920358497061,"247,508,760",3,118.920358497067,"247,508,760",3,118.920358496923,"247,508,760",3,118.920358497018,"247,508,760",3,118.92035849695,"256,509,756",3,118.113911029547
"252,502,752",3,83.0106725703819,"253,505,748",3,101.4882347265,"253,505,748",3,76.0298477472053,"253,505,748",3,76.0298477470972,"253,505,748",3,76.029847747107,"253,505,748",3,76.0298477470157,"253,505,748",3,76.0298477471265,"253,505,748",3,76.029847747279,"253,505,748",3,76.0298477472346,"253,505,748",3,76.0298477472055,"253,505,748",3,76.0298477471771,"253,505,748",3,76.0298477471674,"263,506,742",3,73.8189281558279
"252,502,752",3,101.305693762123,"245,496,752,764",4,136.928860116255,"245,496,752",3,99.6458275281443,"245,496,752",3,99.645728332976,"245,496,752",3,99.6457283330044,"245,496,752",3,99.6457283329617,"245,496,752",3,99.6457283331143,"245,496,752",3,99.6457283329205,"245,496,752",3,99.6457283330757,"245,496,752",3,99.645728332945,"245,496,752",3,99.645728332935,"245,496,752",3,99.6457283331974,"251,495,752",3,99.1716308916563
"252,502,752",3,165.849800986894,"244,480,503,760,774",5,216.327583977618,"244,503,760",3,162.687798463132,"244,503,760",3,161.259847535301,"244,503,760",3,161.259847535292,"244,503,760",3,161.259847535501,"244,503,760",3,161.259847535301,"244,503,760",3,161.25984753551,"244,503,760",3,161.259847535444,"244,503,760",3,161.259847535449,"244,503,760",3,161.259847535251,"244,503,760",3,161.259847535246,"254,482,761",3,159.674072237326
"252,502,752",3,114.668587234823,"243,486,539,754,770",5,153.011681876309,"243,486,539,754",4,127.641779412205,"243,486,539,754",4,127.641741451489,"243,486,539,754",4,127.641741451545,"243,486,539,754",4,127.641741451394,"243,539,754",3,122.284726117415,"243,539,754",3,113.971606538195,"243,539,754",3,113.971606538224,"243,539,754",3,113.971606538277,"243,539,754",3,113.971606538113,"243,539,754",3,113.971606537852,"247,505,756",3,110.660123288423
"252,502,752",3,106.912236858521,"229,509,528,749,778",5,144.900061424845,"229,528,749",3,87.6624394077748,"229,528,749",3,87.6624093864004,"229,528,749",3,87.6624093863996,"229,528,749",3,87.6624093863965,"229,528,749",3,87.662409386368,"229,528,749",3,87.6624093863265,"229,528,749",3,87.6624093864009,"229,528,749",3,87.6624093863969,"229,528,749",3,87.6624093864215,"229,528,749",3,87.6624093863041,"233,534,738",3,86.8835938689583
"252,502,752",3,137.759509408065,"230,505,760",3,176.483792892017,"230,505,760",3,133.768760633298,"230,505,760",3,133.768760633493,"230,505,760",3,133.768760633539,"230,505,760",3,133.768760633394,"230,505,760",3,133.768760633407,"230,505,760",3,133.768760633365,"230,505,760",3,133.768760633396,"230,505,760",3,133.768760633427,"230,505,760",3,133.768760633369,"230,505,760",3,133.768760633353,"242,509,753",3,131.984035134707
"252,502,752",3,113.495997533396,"233,493,755",3,115.598329497877,"233,493,755",3,99.9364452036765,"233,493,755",3,99.9364452036585,"233,493,755",3,99.9364452037382,"233,493,755",3,99.9364452036608,"233,493,755",3,99.936445203764,"233,493,755",3,99.9364452037857,"233,493,755",3,99.9364452037471,"233,493,755",3,99.9364452037218,"233,493,755",3,99.9364452037749,"233,493,755",3,99.9364452037053,"235,495,746",3,99.377865704174
"252,502,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"231,500,752",3,75.9853080688035,"239,502,745",3,-6.43921404961129
