"true_model","true_slope","true_nknots","bic_true_model","flasso","slope_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","nknots_iter10flasso","bic_iter10flasso","PELT","nknots_PELT","bic_PELT","knots_BS","nknots_BS","bic_BS","knots_WBS","nknots_WBS","bic_WBS"
"251,501,751",0.005,3,6987.57574239598,"249,251,254,450,484,487,500,501,506,507,537,751",0.00626633493613096,12,7122.66197667244,"251,500,751",0.00495786363902477,3,6984.37941682406,"251,500,751",0.00484462261924923,3,6983.70439280745,"251,500,751",0.00484462261913554,3,6983.70439280745,"251,500,751",0.0048446226168618,3,6983.70439280745,"251,500,751",0.00484462261663443,3,6983.70439280745,"251,500,751",0.00484462261697549,3,6983.70439280744,"251,500,751",0.00484462261572493,3,6983.70439280745,"251,500,751",0.0048446226168618,3,6983.70439280745,"251,500,751",0.00484462261697549,3,6983.70439280745,"251,500,751",0.00484462262004503,3,6983.70439280745,"93,251,333,500,593,751,905",7,108.045886084716,"93,251,333,500,593,751,905",7,108.045886084716,"93,251,333,500,593,751,905",7,108.045886084716
"251,501,751",0.005,3,6998.29262939034,"236,248,251,501,751",0.00703906746820286,5,7068.0379619804,"251,501,751",0.00565774007744824,3,6995.6996729756,"251,501,751",0.0056089492332795,3,6995.67672461155,"251,501,751",0.00560894923964597,3,6995.67672461155,"251,501,751",0.00560894924055546,3,6995.67672461154,"251,501,751",0.00560894924146496,3,6995.67672461155,"251,501,751",0.00560894924510293,3,6995.67672461154,"251,501,751",0.00560894924146496,3,6995.67672461155,"251,501,751",0.0056089492419197,3,6995.67672461155,"251,501,751",0.00560894923509849,3,6995.67672461154,"251,501,751",0.00560894923873647,3,6995.67672461155,"137,251,352,501,658,751,890",7,148.265321757358,"137,251,352,501,658,751,890",7,148.265321757358,"137,251,352,501,658,751,973",7,149.691527300549
"251,501,751",0.005,3,7004.24172681944,"250,251,480,499,503,504,506,751",0.00531717737996218,8,7074.26382574098,"250,499,751",0.00445560328853851,3,6993.94025276229,"250,499,751",0.00438983182552179,3,6993.1364702374,"250,499,751",0.00438983182563548,3,6993.13647023739,"250,499,751",0.00438983182438492,3,6993.1364702374,"250,499,751",0.0043898318237028,3,6993.1364702374,"250,499,751",0.00438983182506705,3,6993.1364702374,"250,499,751",0.00438983182552179,3,6993.1364702374,"250,499,751",0.00438983182483967,3,6993.1364702374,"250,499,751",0.00438983182574917,3,6993.13647023739,"250,499,751",0.00438983182427124,3,6993.1364702374,"99,250,425,499,586,751,822",7,132.410918237714,"99,250,425,499,586,751,822",7,132.410918237714,"99,250,425,503,586,751,822",7,133.096835669954
"251,501,751",0.005,3,6911.22171155832,"251,252,490,491,499,501,528,533,552,751",0.00652763963270314,10,7037.15368419247,"251,501,751",0.00521676055365954,3,6910.0049047118,"251,501,751",0.0049701103515502,3,6909.11188100479,"251,501,751",0.00497011035115229,3,6909.11188100479,"251,501,751",0.00497011034930488,3,6909.11188100478,"251,501,751",0.00497011034896382,3,6909.11188100479,"251,501,751",0.00497011035021438,3,6909.11188100479,"251,501,751",0.00497011034896382,3,6909.11188100479,"251,501,751",0.00497011035115229,3,6909.11188100479,"251,501,751",0.00497011034961752,3,6909.11188100479,"251,501,751",0.00497011034967436,3,6909.11188100479,"99,251,302,501,626,751,899",7,48.0107908704347,"99,252,302,501,626,751,899",7,48.989636797601,"99,252,302,501,626,751,899",7,48.989636797601
"251,501,751",0.005,3,6953.92064261884,"251,252,253,477,501,752,753",0.00612821378326381,7,7015.26386235797,"252,501,753",0.00513426115809572,3,6937.68566934186,"252,501,753",0.00503555056766128,3,6937.58144333914,"252,501,753",0.00503555056595598,3,6937.58144333913,"252,501,753",0.00503555056481911,3,6937.58144333913,"252,501,753",0.00503555056982133,3,6937.58144333913,"252,501,753",0.00503555056584229,3,6937.58144333913,"252,501,753",0.0050355505692529,3,6937.58144333914,"252,501,753",0.00503555056720653,3,6937.58144333914,"252,501,753",0.00503555056606967,3,6937.58144333913,"252,501,753",0.00503555056936658,3,6937.58144333914,"220,252,387,501,636,753,959",7,79.2303006150484,"220,252,387,501,636,753,959",7,79.2303006150484,"220,252,387,501,636,753,959",7,79.2303006150484
"251,501,751",0.005,3,6956.80549959935,"251,468,470,499,500,501,507,508,510,535,746,751,752",0.00656721942207436,13,7112.7142368927,"251,500,751",0.00508455455423675,3,6952.67070691047,"251,500,751",0.00513181367335495,3,6951.53702566647,"251,500,751",0.00513181367199071,3,6951.53702566648,"251,500,751",0.00513181367744767,3,6951.53702566648,"251,500,751",0.00513181366926222,3,6951.53702566647,"251,500,751",0.00513181367199071,3,6951.53702566647,"251,500,751",0.00513181367335495,3,6951.53702566647,"251,500,751",0.00513181367835717,3,6951.53702566647,"251,500,751",0.00513181367881192,3,6951.53702566647,"251,500,751",0.00513181367108121,3,6951.53702566648,"135,251,361,500,625,751,829,940",8,87.6074760470336,"135,251,361,500,625,751,829,940",8,87.6074760470336,"135,251,361,500,625,751,829,940",8,87.6074760470336
"251,501,751",0.005,3,6891.36926318342,"250,251,252,501,516,521,524,751",0.00584741423252632,8,6966.19099557495,"252,501,751",0.00506861701226825,3,6888.52932680204,"252,501,751",0.00500367059259268,3,6888.46290305393,"252,501,751",0.00500367059179687,3,6888.46290305392,"252,501,751",0.00500367059293374,3,6888.46290305393,"252,501,751",0.00500367059270636,3,6888.46290305392,"252,501,751",0.00500367059372954,3,6888.46290305392,"252,501,751",0.00500367059861808,3,6888.46290305391,"252,501,751",0.00500367059179687,3,6888.46290305392,"252,501,751",0.00500367059350217,3,6888.46290305392,"252,501,751",0.00500367059452535,3,6888.46290305392,"157,252,383,501,643,751,934",7,42.7089165491951,"157,252,383,501,643,751,934",7,42.7089165491951,"157,252,383,501,643,751,934",7,42.7089165491951
"251,501,751",0.005,3,6994.78470654975,"245,248,251,439,501,502,506,751",0.00699579426939521,8,7094.13072270916,"251,501,751",0.00602756456307532,3,6998.60051784691,"251,501,751",0.00554565325328019,3,6991.2618960865,"251,501,751",0.00554565325646343,3,6991.2618960865,"251,501,751",0.00554565325919191,3,6991.26189608651,"251,501,751",0.00554565325373494,3,6991.2618960865,"251,501,751",0.00554565325191595,3,6991.2618960865,"251,501,751",0.00554565325100646,3,6991.2618960865,"251,501,751",0.00554565325282545,3,6991.2618960865,"251,501,751",0.0055456532557813,3,6991.26189608651,"251,501,751",0.00554565325646343,3,6991.26189608651,"82,211,251,458,502,586,751,919",8,129.138901546957,"82,211,251,458,502,586,751,919",8,129.138901546957,"82,251,458,502,586,751,919",7,129.573464579853
"251,501,751",0.005,3,6990.54169022665,"244,249,251,253,261,501,504,751",0.00578328141518701,8,7093.11300383128,"251,501,751",0.0048542881171253,3,6983.07786353453,"251,501,751",0.00439660589897492,3,6980.95024068361,"251,501,751",0.00439660589670119,3,6980.95024068361,"251,501,751",0.0043966058939727,3,6980.9502406836,"251,501,751",0.0043966058939727,3,6980.95024068361,"251,501,751",0.00439660589942967,3,6980.95024068361,"251,501,751",0.00439660589715593,3,6980.95024068362,"251,501,751",0.00439660589647381,3,6980.95024068361,"251,501,751",0.00439660589670119,3,6980.95024068361,"251,501,751",0.00439660590056654,3,6980.95024068361,"215,251,378,501,669,751,843",7,114.00551908892,"131,249,378,501,669,751,843",7,115.270061269244,"224,249,378,501,669,751,843",7,116.864392185371
"251,501,751",0.005,3,6924.73301710525,"249,251,253,254,493,497,501,542,745,746,747,750,751",0.00707887525728353,13,7096.67168909814,"251,501,751",0.00673517666236917,3,6931.78176084357,"251,501,751",0.00559225986906308,3,6919.6166779934,"251,501,751",0.00559225986656197,3,6919.6166779934,"251,501,751",0.00559225986627776,3,6919.6166779934,"251,501,751",0.00559225986656197,3,6919.6166779934,"251,501,751",0.00559225986980205,3,6919.6166779934,"251,501,751",0.00559225986605038,3,6919.6166779934,"251,501,751",0.00559225986741462,3,6919.6166779934,"251,501,751",0.00559225986769884,3,6919.61667799341,"251,501,751",0.00559225986821043,3,6919.6166779934,"90,251,380,501,660,747,840",7,59.5709614266251,"90,251,380,501,660,747,840",7,59.5709614266251,"90,251,380,501,660,747,840",7,59.5709614266251
