"true_model","bic_true_model","PELT","bic_PELT","knots_BS","bic_BS","knots_WBS","bic_WBS","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_pelt","distance_wbs","distance_bs","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"251,501,751",6938.71257144408,"165,251,436,501,661,749,848",65.6033530662924,"165,249,436,501,661,749,848",66.5861005168269,"165,249,436,501,661,749,848",66.5861005168269,"249,251,461,494,499,501,503,749,754,758",7046.21063939966,"249,501,749",6932.2786973391,2,"249,501,749",6930.43469,4.002,4.004,4.004,7.002,0.004,0.004
"251,501,751",6878.31507802616,"147,250,351,502,612,751,892",15.5493714348076,"147,251,351,502,612,752,892",15.9930874616404,"147,251,351,502,612,752,892",15.9930874616404,"210,214,245,247,250,251,488,501,502,503,510,751,752",7041.10525102807,"251,502,752",6877.309707968,2,"251,502,752",6872.01331,4.002,4.002,4.002,10,0.002,0.002
"251,501,751",6973.74087576732,"104,251,345,501,579,754,890",102.115237768196,"104,251,345,501,579,754,890",102.115237768196,"104,251,345,501,579,754,890",102.115237768196,"248,250,251,260,467,497,501,505,750,754,759",7074.0638974925,"251,501,754",6959.57817113605,2,"251,501,754",6957.38145,4.003,4.003,4.003,8.001,0.003,0.003
"251,501,751",6974.34246868888,"89,237,257,460,501,629,751,834",97.4417131413316,"89,252,407,505,584,751,834",98.9326931819617,"89,252,460,501,584,751,834",98.2511257959325,"237,252,257,501,505,508,512,522,530,542,751",7069.69146783174,"252,501,751",6961.93301539816,2,"252,501,751",6959.43139,5.006,4.001,4.005,8.001,0.001,0.001
"251,501,751",6996.84318540026,"42,157,251,401,501,639,751,918",136.404548217545,"117,251,401,501,639,751,918",137.249255370756,"117,251,401,501,639,751,918",137.249255370756,"251,501,505,522,595,607,744,751",7080.62743460012,"251,501,751",7001.15067349814,2,"251,501,751",6995.76018,5,4,4,5,0,0
"251,501,751",6896.25829558522,"191,253,384,501,604,752,917",25.0371557364179,"191,250,319,501,604,752,917",27.8350644085292,"191,250,319,501,604,752,917",27.8350644085292,"235,250,253,489,501,528,535,737,751,752",6990.61840795343,"253,501,752",6887.90417902751,2,"253,501,752",6886.80957,4.003,4.002,4.002,7.001,0.003,0.003
"251,501,751",6910.74293244999,"117,251,396,501,656,751,863,966",55.0548392460452,"117,251,396,501,656,751,916",56.752982724268,"117,251,396,501,656,751,916",56.752982724268,"246,251,253,501,511,751",6984.80120568985,"251,501,751",6906.70123249519,2,"251,501,751",6906.67892,5,4,4,3,0,0
"251,501,751",7043.60848123945,"126,251,282,499,749,921",139.230078512916,"126,251,282,499,749,921",139.230078512916,"126,251,282,499,749,921",139.230078512916,"250,251,273,497,498,499,501,549,749,751,753,754,755,757",7210.113668072,"251,498,749",7031.43048968644,2,"251,498,749",7030.35133,3.004,3.004,3.004,11,0.005,0.005
"251,501,751",6938.79154989358,"121,251,376,501,751,835",68.7754883262801,"121,251,376,501,751,835",68.7754883262801,"121,251,376,501,751,835",68.7754883262801,"250,251,254,499,501,503,591,750,751",7015.53552716101,"251,501,751",6930.00094706708,2,"251,501,751",6929.7993,3,3,3,6,0,0
"251,501,751",6932.76996630697,"32,180,251,315,501,635,751,844",64.1562809485927,"126,251,315,501,635,751,844",67.6471572714213,"126,251,315,501,635,751,844",67.6471572714213,"251,415,418,424,472,501,502,503,535,751",7090.00294207312,"251,501,751",6925.70532645036,2,"251,501,751",6924.99898,5,4,4,7,0,0
"251,501,751",6937.19491518389,"91,251,333,501,629,751,927",70.4309052439923,"91,251,333,501,629,751,927",70.4309052439923,"91,251,333,501,629,751,927",70.4309052439923,"251,481,501,502,539,743,751,757",7015.3702600447,"251,501,751",6937.44731348835,2,"251,501,751",6934.17301,4,4,4,5,0,0
"251,501,751",6969.57738294948,"124,251,327,501,656,752,910",81.0963387162821,"124,251,327,501,656,752,910",81.0963387162821,"124,251,327,501,656,752,910",81.0963387162821,"251,448,469,501,503,509,544,546,751,752",7100.43621205657,"251,501,752",6958.78406019012,2,"251,501,752",6958.22704,4.001,4.001,4.001,7,0.001,0.001
"251,501,751",6988.56767614823,"153,255,426,500,584,751,832,995",131.550880380939,"153,255,426,500,584,751,832,995",131.550880380939,"153,255,426,500,584,751,832",131.962568287429,"247,255,256,261,494,497,500,501,519,521,751,755",7128.85065041057,"255,500,751",6987.72125523494,2,"255,500,751",6979.51915,5.005,4.005,5.005,9.004,0.005,0.005
"251,501,751",6972.66981045081,"56,251,355,501,627,755,925",106.035979767812,"56,251,355,501,627,752,925",108.597174492208,"55,251,355,501,627,752,925",108.628272344616,"250,251,252,253,453,494,501,512,751,752,755",7096.57152064198,"251,501,755",6966.4999907628,2,"251,501,755",6965.46171,4.004,4.001,4.001,8,0.004,0.004
"251,501,751",6975.02922001326,"112,252,384,501,632,751,859",108.519345285728,"112,252,384,501,632,751,859",108.519345285728,"112,252,384,501,632,751,859",108.519345285728,"249,252,466,497,501,515,524,746,751,753,755,758,759",7111.07133461128,"252,501,751",6975.18690893413,2,"252,501,751",6970.98207,4.001,4.001,4.001,10.001,0.001,0.001
"251,501,751",6973.41630502535,"131,251,340,502,561,751,920",103.547710042736,"131,251,340,501,561,751,920",104.477942862463,"131,251,340,502,561,751,920",103.547710042736,"250,251,461,475,493,494,498,501,502,751",7081.16442510202,"251,502,751",6972.89118675935,2,"251,502,751",6972.23566,4.001,4.001,4,7,0.001,0.001
"251,501,751",6952.46044404959,"34,108,251,423,501,618,718,751,923",83.9882916910662,"82,251,423,501,618,718,751,923",84.8563870890493,"82,251,423,501,618,718,751,923",84.8563870890493,"251,255,487,496,500,501,502,505,546,750,751",7096.28640861508,"251,487,502,751",6957.25979799106,3,"251,502,751",6948.60122,6,5,5,8,1.001,0.001
"251,501,751",6949.80581582207,"155,250,401,500,584,752,842",50.7100731443946,"155,250,401,500,584,752,842",50.7100731443946,"155,250,401,500,584,752,842",50.7100731443946,"247,250,456,499,500,501,751,752",7040.71743270948,"250,500,752",6936.6397561471,2,"250,500,752",6935.08614,4.003,4.003,4.003,5.001,0.003,0.003
"251,501,751",6963.58363054262,"136,251,422,501,625,751,845",84.9581314004231,"136,251,422,501,625,751,845",84.9581314004231,"136,251,422,501,625,751,845",84.9581314004231,"243,249,251,465,499,501,751",7034.73181232852,"251,501,751",6958.82388397869,2,"251,501,751",6958.78147,4,4,4,4,0,0
"251,501,751",6951.58288994509,"110,251,315,502,569,754,913",62.8121669808328,"110,251,315,502,569,757,913",62.9228597410015,"110,251,315,502,569,757,913",62.9228597410015,"251,453,461,495,496,501,502,515,751,754,757,759",7094.87654660952,"251,502,757",6940.63648768823,2,"251,502,757",6939.7191,4.004,4.007,4.007,9,0.007,0.007
"251,501,751",6950.77379916477,"186,250,350,500,633,751,812,944",97.5473506077438,"186,251,350,500,633,751,867",101.525746006247,"186,251,350,500,633,751,867",101.525746006247,"248,250,251,497,500,502,506,751,758",7111.72902479336,"250,500,506,751",6956.26847588367,3,"250,500,751",6944.9877,5.002,4.001,4.001,6.001,1.002,0.002
