"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"219,341,505",0.005,3,7042.34487184463,"219,345,505",0.00477144257707755,3,7065.13964905872,2,"219,345,505",3,0.00477144257707755,7041.04118,0.004,0.00477144257707755,0.004
"283,536,688",0.005,3,6908.39008764613,"283,536,689",0.00492285116886231,3,6904.12121797412,2,"283,536,689",3,0.00492285116886231,6902.93092,0.001,0.00492285116886231,0.001
"244",0.005,1,6887.54437592076,"240",0.00515850651733039,1,6883.45461361999,2,"240",1,0.00515850651733039,6882.52868,0.004,0.00515850651733039,0.004
"132,287,389,614,804",0.005,5,6970.41144382234,"131,294,387,614,805",0.00465987365857535,5,6959.86631343558,2,"131,294,387,614,805",5,0.00465987365857535,6957.71753,0.011,0.00465987365857535,0.011
"416,856",0.005,2,6946.56532993829,"409,854",0.0047846389965331,2,6947.59590182892,2,"409,854",2,0.0047846389965331,6943.58524,0.009,0.0047846389965331,0.009
"432",0.005,1,6973.4849868423,"432",0.00505735729311725,1,6972.19478838922,2,"432",1,0.00505735729311725,6972.12926,0,0.00505735729311725,0
"561,750",0.005,2,6980.75264588004,"562,750",0.0047979832370953,2,6981.51211283273,2,"562,750",2,0.0047979832370953,6979.98033,0.001,0.0047979832370953,0.001
"210,479,746",0.005,3,6956.05080400729,"209,482,746",0.00545968625943664,3,6941.71473007524,2,"209,482,746",3,0.00545968625943664,6941.67934,0.004,0.00545968625943664,0.004
"108,225,327,451,572,737,856",0.005,7,7030.66670202263,"108,225,327,452,561,572,737,856",0.00495909740951095,8,7032.056330669,3,"108,225,327,452,572,737,856",7,0.00469903761495075,7020.3061,1.001,0.00495909740951095,0.001
"712",0.005,1,6831.81054094464,"712",0.00535836198738998,1,6827.23715711114,2,"712",1,0.00535836198738998,6827.23327,0,0.00535836198738998,0
"203,364,566,719,886",0.005,5,7000.79680512033,"203,361,566,714,720,886",0.00647077837068207,6,7001.07608974804,5,"203,361,566,720,886",5,0.00664725463631056,6980.67271,1.004,0.00647077837068207,0.004
